wafer,time dep,SIH4,GeH4,geh4_sih4,bore ,target_bore,MBIR,target_bore_log,MBIR_log
5,500,40,310,7.75,100,4.00E+20,4.45E+20,0.602059991,0.648360011
6,600,50,310,6.2,100,4.00E+20,4.37E+20,0.602059991,0.640481437
7,400,40,360,9,100,4.00E+20,5.12E+20,0.602059991,0.709269961
8,500,40,310,7.75,150,6.00E+20,7.00E+20,0.77815125,0.84509804
9,500,40,310,7.75,50,2.00E+20,1.81E+20,0.301029996,0.257678575
12,500,40,310,7.75,100,4.00E+20,4.45E+20,0.602059991,0.648360011
13,500,40,310,7.75,100,4.00E+20,4.45E+20,0.602059991,0.648360011
14,600,50,310,6.2,100,4.00E+20,4.37E+20,0.602059991,0.640481437
15,600,50,310,6.2,100,4.00E+20,4.37E+20,0.602059991,0.640481437
16,400,40,360,9,100,4.00E+20,5.12E+20,0.602059991,0.709269961
17,400,40,360,9,100,4.00E+20,5.12E+20,0.602059991,0.709269961
18,500,40,310,7.75,150,6.00E+20,7.00E+20,0.77815125,0.84509804
19,500,40,310,7.75,150,6.00E+20,7.00E+20,0.77815125,0.84509804
20,500,40,310,7.75,50,2.00E+20,1.81E+20,0.301029996,0.257678575
21,500,40,310,7.75,50,2.00E+20,1.81E+20,0.301029996,0.257678575
