site,wafer,time_dep,geh4,b2h6,xge.sims,B_conc.sims,B_dose.mbir,th_sigeb.xrd,xge.xrd,th_sigeb.xrr
1,1,350,690,125,35.61,3.62E+20,2.449,143.52,0.31897,150.966
5,1,350,690,125,35.78,3.53E+20,2.5317,141.89,0.3194,151.044
13,1,350,690,125,36.15,3.46E+20,2.3992,140.26,0.32223,148.746
1,2,425,560,125,31.58,7.63E+20,2.3909,122.76,0.27126,123.656
5,2,425,560,125,31.88,7.38E+20,2.414,119.44,0.27301,123.328
13,2,425,560,125,32.2,7.10E+20,2.3175,118.22,0.2777,122.05
1,3,500,690,125,35.62,3.55E+20,3.7424,210.84,0.31842,216.384
5,3,500,690,125,36.01,3.50E+20,3.7971,210.47,0.32014,216.78
13,3,500,690,125,36.15,3.32E+20,3.6482,210.7,0.32294,215.266
1,4,425,820,125,38.65,2.29E+20,4.1858,256.1,0.35444,263.928
5,4,425,820,125,38.9,2.24E+20,4.165,258.07,0.35504,265.126
13,4,425,820,125,39.15,2.19E+20,4.0259,253.62,0.35685,262.892
1,5,350,560,150,31,1.11E+21,2.6417,113,0.25533,119.846
5,5,350,560,150,31.24,1.07E+21,2.6221,113.84,0.2581,119.266
13,5,350,560,150,31.66,1.02E+21,2.5606,112.99,0.26411,118.24
1,6,350,820,150,38.14,3.03E+20,4.1889,224.21,0.34511,232.502
5,6,350,820,150,38.56,2.98E+20,4.1393,224.85,0.34642,234.502
13,6,350,820,150,38.74,2.84E+20,3.999,222.31,0.34996,232.454
1,7,425,690,150,35,5.21E+20,4.0492,198.73,0.30648,204.194
5,7,425,690,150,35.2,5.00E+20,4.0936,200.06,0.30905,204.81
13,7,425,690,150,35.53,4.76E+20,3.9743,198.62,0.31304,203.978
1,8,425,690,150,34.82,5.06E+20,4.0672,201.89,0.30697,205.494
5,8,425,690,150,35.13,4.94E+20,4.0597,201.51,0.30914,206.338
13,8,425,690,150,35.53,4.68E+20,3.9093,198.89,0.31258,205.254
1,9,500,560,150,30.9,1.08E+21,3.9357,165.96,0.25566,171.94
5,9,500,560,150,31.14,1.06E+21,3.9,164.63,0.25727,171.624
13,9,500,560,150,31.6,1.00E+21,3.8073,165.15,0.26137,169.988
1,10,500,820,150,38.05,3.18E+20,6.1116,331.84,0.34584,337.856
5,10,500,820,150,38.28,3.08E+20,6.043,334.73,0.34696,338.904
13,10,500,820,150,38.54,2.98E+20,5.8716,327.85,0.34981,333.99
1,11,425,560,175,30.4,1.51E+21,4.2889,161.7,0.24044,165.888
5,11,425,560,175,30.62,1.46E+21,4.3656,160.28,0.24228,165.052
13,11,425,560,175,31.14,1.40E+21,4.2639,156.19,0.24949,162.524
1,12,350,690,175,34.38,6.93E+20,4.1373,179.44,0.29581,187.944
5,12,350,690,175,34.91,6.76E+20,4.1525,179.56,0.2979,188.448
13,12,350,690,175,35.21,6.33E+20,4.0411,179.35,0.30455,186.708
1,13,425,820,175,37.78,4.05E+20,6.1095,295.86,0.33686,303.538
5,13,425,820,175,38.04,3.99E+20,6.108,296.78,0.33834,304.09
13,13,425,820,175,38.31,3.80E+20,5.8901,291.88,0.34247,300.074
1,14,500,690,175,34.73,6.82E+20,6.0245,261.51,0.296,268.008
5,14,500,690,175,35.22,6.53E+20,6.0409,260.5,0.29877,268.124
13,14,500,690,175,34.69,7.04E+20,5.8171,255.71,0.30427,264.394
1,15,425,690,150,35.13,5.06E+20,4.0395,201.9,0.307,203.796
5,15,425,690,150,35.51,4.99E+20,4.0082,201.15,0.3093,203.986
13,15,425,690,150,35.86,4.77E+20,3.8154,199.58,0.31251,202.028
1,16,350,820,150,38.44,3.04E+20,4.2589,238.61,0.34548,243.524
5,16,350,820,150,38.57,2.97E+20,4.2198,239.88,0.34645,244.312
13,16,350,820,150,38.88,2.89E+20,4.0517,232.41,0.34903,239.524
1,18,350,820,150,38.36,2.98E+20,4.246,228.97,0.34768,237.802
5,18,350,820,150,38.74,2.90E+20,4.2602,232.56,0.34879,239.612
13,18,350,820,150,38.99,2.80E+20,4.1437,227.69,0.35226,237.384
